Type	BF	DK	OMPBF	OMPDK	FROM	TO	NTHRDS
Dist	1114.417	1114.417	1114.417	1114.417	0	76	4
Time	0.00801	0.00864	0.00918	0.00913	0	76	4
Dist	1272.074	1272.074	1272.074	1272.074	0	77	2
Time	0.00769	0.00804	0.00898	0.00937	0	77	2
Dist	1272.074	1272.074	1272.074	1272.074	0	77	3
Time	0.00813	0.00814	0.00878	0.00897	0	77	3
Dist	1272.074	1272.074	1272.074	1272.074	0	77	4
Time	0.00814	0.00833	0.00924	0.00930	0	77	4
Dist	872.622	872.622	872.622	872.622	0	78	2
Time	0.00807	0.00795	0.00888	0.00941	0	78	2
Dist	872.622	872.622	872.622	872.622	0	78	3
Time	0.00796	0.00790	0.00883	0.00900	0	78	3
Dist	872.622	872.622	872.622	872.622	0	78	4
Time	0.00797	0.00811	0.00861	0.00912	0	78	4
Dist	1959.234	1959.234	1959.234	1959.234	0	79	2
Time	0.00846	0.00826	0.00908	0.00950	0	79	2
Dist	1959.234	1959.234	1959.234	1959.234	0	79	3
Time	0.00847	0.00798	0.00901	0.00947	0	79	3
